Transport,Vehicle Type,Vehicle Monthly Distance Km,Energy efficiency,Waste Bag Weekly Count,Recycling,Monthly Grocery Bill,Frequency of Traveling by Air,CarbonEmission
public,No Vehicle,210,No,4,['Metal'],230,frequently,2238
walk/bicycle,No Vehicle,9,No,3,['Metal'],114,rarely,1892
private,petrol,2472,Sometimes,1,['Metal'],138,never,2595
walk/bicycle,No Vehicle,74,Sometimes,3,"['Paper', 'Plastic', 'Glass', 'Metal']",157,rarely,1074
private,diesel,8457,Yes,1,['Paper'],266,very frequently,4743
public,No Vehicle,658,Sometimes,1,"['Paper', 'Glass', 'Metal']",144,frequently,1647
private,hybrid,5363,Sometimes,4,[],56,rarely,1832
walk/bicycle,No Vehicle,54,No,3,"['Paper', 'Plastic', 'Glass']",59,very frequently,2322
public,No Vehicle,1376,Yes,3,['Glass'],200,frequently,2494
public,No Vehicle,440,Sometimes,1,['Glass'],135,rarely,1178
public,No Vehicle,1561,No,4,"['Paper', 'Plastic']",146,never,1427
walk/bicycle,No Vehicle,69,Sometimes,5,[],111,very frequently,3226
walk/bicycle,No Vehicle,92,Yes,3,['Plastic'],114,rarely,1593
private,lpg,2893,Sometimes,6,"['Plastic', 'Glass', 'Metal']",111,rarely,1732
public,No Vehicle,1989,No,6,"['Paper', 'Plastic', 'Metal']",123,rarely,1743
public,No Vehicle,692,No,6,"['Paper', 'Plastic', 'Glass', 'Metal']",225,very frequently,2101
walk/bicycle,No Vehicle,7,Sometimes,4,[],219,frequently,2609
public,No Vehicle,948,Yes,6,['Paper'],104,rarely,1565
private,petrol,7622,Sometimes,2,[],126,very frequently,5272
walk/bicycle,No Vehicle,51,No,4,"['Paper', 'Glass', 'Metal']",288,never,1220
private,electric,2237,No,6,"['Plastic', 'Glass', 'Metal']",282,rarely,1300
public,No Vehicle,1804,No,1,['Metal'],69,rarely,1024
walk/bicycle,No Vehicle,85,Sometimes,3,"['Paper', 'Plastic', 'Glass', 'Metal']",110,never,706
private,diesel,472,Yes,4,"['Paper', 'Glass']",165,frequently,2582
private,diesel,5737,Yes,1,"['Paper', 'Metal']",62,very frequently,4284
walk/bicycle,No Vehicle,88,Sometimes,6,"['Paper', 'Plastic', 'Metal']",94,rarely,807
public,No Vehicle,558,Sometimes,4,['Metal'],259,frequently,1991
public,No Vehicle,752,Sometimes,3,['Plastic'],67,rarely,1817
walk/bicycle,No Vehicle,71,No,2,['Glass'],130,rarely,1490
public,No Vehicle,1028,Yes,2,"['Glass', 'Metal']",258,frequently,1561
public,No Vehicle,1527,Yes,4,"['Glass', 'Metal']",189,frequently,2202
walk/bicycle,No Vehicle,88,Sometimes,5,[],262,frequently,2024
walk/bicycle,No Vehicle,73,No,4,"['Paper', 'Glass', 'Metal']",157,frequently,1659
private,lpg,8320,Sometimes,5,"['Paper', 'Metal']",280,very frequently,3911
walk/bicycle,No Vehicle,72,Yes,6,"['Glass', 'Metal']",121,never,1204
walk/bicycle,No Vehicle,9,Yes,2,"['Paper', 'Plastic', 'Glass']",174,very frequently,2431
walk/bicycle,No Vehicle,60,Sometimes,2,"['Plastic', 'Glass']",173,frequently,1640
walk/bicycle,No Vehicle,13,No,5,"['Paper', 'Glass', 'Metal']",199,frequently,1648
walk/bicycle,No Vehicle,32,Sometimes,6,"['Glass', 'Metal']",94,rarely,1002
walk/bicycle,No Vehicle,49,Yes,1,"['Plastic', 'Glass']",64,frequently,1771
public,No Vehicle,1351,Yes,1,"['Paper', 'Plastic', 'Glass']",100,very frequently,2028
public,No Vehicle,1726,No,2,"['Glass', 'Metal']",240,very frequently,2540
public,No Vehicle,1021,No,7,"['Paper', 'Glass', 'Metal']",245,never,1386
walk/bicycle,No Vehicle,62,Sometimes,5,['Plastic'],270,rarely,1679
private,electric,9488,Yes,5,['Glass'],294,very frequently,3141
public,No Vehicle,1037,No,4,"['Paper', 'Plastic']",87,very frequently,2627
private,electric,9555,Yes,2,"['Paper', 'Glass', 'Metal']",209,never,1188
private,diesel,9031,Yes,5,"['Plastic', 'Glass']",124,never,3174
public,No Vehicle,1461,Sometimes,7,['Metal'],276,frequently,2327
walk/bicycle,No Vehicle,39,Yes,3,"['Paper', 'Plastic', 'Metal']",90,very frequently,1822
private,diesel,5033,No,6,"['Paper', 'Plastic', 'Metal']",136,never,2665
public,No Vehicle,1065,Yes,4,"['Plastic', 'Metal']",246,frequently,2129
public,No Vehicle,927,Yes,5,"['Paper', 'Glass']",94,rarely,1425
private,hybrid,2277,Sometimes,1,"['Paper', 'Glass', 'Metal']",253,frequently,1690
walk/bicycle,No Vehicle,97,Sometimes,7,['Metal'],200,rarely,1717
private,lpg,7272,No,2,"['Paper', 'Glass']",281,frequently,4060
private,petrol,5260,No,3,"['Plastic', 'Glass']",82,rarely,3262
public,No Vehicle,1750,Yes,1,"['Paper', 'Glass']",73,rarely,1674
private,hybrid,2998,Sometimes,4,['Metal'],246,frequently,3135
private,lpg,9147,Yes,5,"['Plastic', 'Glass']",98,rarely,4465
public,No Vehicle,1947,Sometimes,3,[],256,rarely,1984
private,lpg,4885,Yes,1,"['Plastic', 'Metal']",287,very frequently,3246
walk/bicycle,No Vehicle,20,No,4,"['Paper', 'Plastic', 'Glass', 'Metal']",63,frequently,1351
walk/bicycle,No Vehicle,23,No,1,['Glass'],158,never,1929
walk/bicycle,No Vehicle,34,Yes,5,[],241,frequently,2719
walk/bicycle,No Vehicle,59,Yes,1,['Paper'],176,frequently,2336
public,No Vehicle,682,Sometimes,6,['Glass'],189,never,1270
walk/bicycle,No Vehicle,10,Yes,6,['Glass'],214,never,1803
walk/bicycle,No Vehicle,10,Sometimes,1,"['Paper', 'Glass']",264,very frequently,1816
private,petrol,7964,No,1,"['Paper', 'Plastic']",213,never,4638
private,hybrid,3606,Sometimes,3,"['Plastic', 'Metal']",281,rarely,1909
public,No Vehicle,536,Yes,2,['Plastic'],280,frequently,2021
public,No Vehicle,1564,No,5,['Metal'],125,rarely,1896
walk/bicycle,No Vehicle,78,No,4,['Paper'],188,frequently,1770
walk/bicycle,No Vehicle,98,No,1,"['Paper', 'Plastic', 'Metal']",251,never,1323
public,No Vehicle,1820,Yes,1,['Plastic'],285,very frequently,2269
public,No Vehicle,243,Yes,4,"['Plastic', 'Glass', 'Metal']",234,never,1918
public,No Vehicle,1586,Yes,7,"['Paper', 'Plastic', 'Metal']",91,very frequently,2477
walk/bicycle,No Vehicle,11,No,3,['Paper'],118,frequently,1444
walk/bicycle,No Vehicle,72,Sometimes,5,"['Paper', 'Plastic', 'Glass']",75,never,1254
public,No Vehicle,1157,No,5,['Glass'],134,never,1411
