Transport,Vehicle Type,Vehicle Monthly Distance Km,Energy efficiency,Waste Bag Weekly Count,Recycling,Monthly Grocery Bill,Frequency of Traveling by Air,CarbonEmission
1,0,210,0,4,2,230,0,2238
2,0,9,0,3,2,114,2,1892
0,5,2472,1,1,2,138,1,2595
2,0,74,1,3,6,157,2,1074
0,1,8457,2,1,10,266,3,4743
1,0,658,1,1,3,144,0,1647
0,3,5363,1,4,15,56,2,1832
2,0,54,0,3,7,59,3,2322
1,0,1376,2,3,1,200,0,2494
1,0,440,1,1,1,135,2,1178
1,0,1561,0,4,9,146,1,1427
2,0,69,1,5,15,111,3,3226
2,0,92,2,3,14,114,2,1593
0,4,2893,1,6,11,111,2,1732
1,0,1989,0,6,8,123,2,1743
1,0,692,0,6,6,225,3,2101
2,0,7,1,4,15,219,0,2609
1,0,948,2,6,10,104,2,1565
0,5,7622,1,2,15,126,3,5272
2,0,51,0,4,3,288,1,1220
0,2,2237,0,6,11,282,2,1300
1,0,1804,0,1,2,69,2,1024
2,0,85,1,3,6,110,1,706
0,1,472,2,4,4,165,0,2582
0,1,5737,2,1,5,62,3,4284
2,0,88,1,6,8,94,2,807
1,0,558,1,4,2,259,0,1991
1,0,752,1,3,14,67,2,1817
2,0,71,0,2,1,130,2,1490
1,0,1028,2,2,0,258,0,1561
1,0,1527,2,4,0,189,0,2202
2,0,88,1,5,15,262,0,2024
2,0,73,0,4,3,157,0,1659
0,4,8320,1,5,5,280,3,3911
2,0,72,2,6,0,121,1,1204
2,0,9,2,2,7,174,3,2431
2,0,60,1,2,12,173,0,1640
2,0,13,0,5,3,199,0,1648
2,0,32,1,6,0,94,2,1002
2,0,49,2,1,12,64,0,1771
1,0,1351,2,1,7,100,3,2028
1,0,1726,0,2,0,240,3,2540
1,0,1021,0,7,3,245,1,1386
2,0,62,1,5,14,270,2,1679
0,2,9488,2,5,1,294,3,3141
1,0,1037,0,4,9,87,3,2627
0,2,9555,2,2,3,209,1,1188
0,1,9031,2,5,12,124,1,3174
1,0,1461,1,7,2,276,0,2327
2,0,39,2,3,8,90,3,1822
0,1,5033,0,6,8,136,1,2665
1,0,1065,2,4,13,246,0,2129
1,0,927,2,5,4,94,2,1425
0,3,2277,1,1,3,253,0,1690
2,0,97,1,7,2,200,2,1717
0,4,7272,0,2,4,281,0,4060
0,5,5260,0,3,12,82,2,3262
1,0,1750,2,1,4,73,2,1674
0,3,2998,1,4,2,246,0,3135
0,4,9147,2,5,12,98,2,4465
1,0,1947,1,3,15,256,2,1984
0,4,4885,2,1,13,287,3,3246
2,0,20,0,4,6,63,0,1351
2,0,23,0,1,1,158,1,1929
2,0,34,2,5,15,241,0,2719
2,0,59,2,1,10,176,0,2336
1,0,682,1,6,1,189,1,1270
2,0,10,2,6,1,214,1,1803
2,0,10,1,1,4,264,3,1816
0,5,7964,0,1,9,213,1,4638
0,3,3606,1,3,13,281,2,1909
1,0,536,2,2,14,280,0,2021
1,0,1564,0,5,2,125,2,1896
2,0,78,0,4,10,188,0,1770
2,0,98,0,1,8,251,1,1323
1,0,1820,2,1,14,285,3,2269
1,0,243,2,4,11,234,1,1918
1,0,1586,2,7,8,91,3,2477
2,0,11,0,3,10,118,0,1444
2,0,72,1,5,7,75,1,1254
